id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,clock,timer,defrost,capacity,lighting,turntable,cavity_type,grill_power,installation,power_levels,control_panel,device_display,microwave_power,other_functions,convection_power,auto_cook_functions,features
458,FMIA320X,Microwave,Classic Built-in microwave oven - Stainless steel,,595mmW x 390mmH x 319mmD,Stainless steel,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia320x,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
electronic timer
4 automatic programs"
459,SAM34CXI,Microwave,34L Freestanding Microwave with Convection,,519mmW x 507mmD x 314mmH,Stainless steel,Glass Turntable,"","Thermal protection
Child safety lock","220-240V, 50/60Hz,2400W,10A 3 pin plug",two years parts and labour,CURRENT,02/10/2018,02/10/2018,sam34cxi,"","","",0.0,n/a,n/a,by time or weight,34L,1 x LED,314mm,Stainless steel,1100W,"",5,"electronic button, dial",digital LED display,1000W,"Pizza
Meat
Vegetables
Pasta
Cake
Potato
Fish
Beverage
Popcorn
Chicken",2400W,10,"inverter technology
10 automatic programs
5 power levels
1100 watt grill
1000 watt microwave power"
453,FMIA120,Microwave,Linear Built-in microwave oven - Silver,,595mmW x 390mmH x 319mmD,Silver glass,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia120,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
3 automatic programs
electronic timer"
454,FMIA120B,Microwave,Linear Built-in microwave oven - White,,595mmW x 390mmH x 319mmD,White glass,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia120b,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
3 automatic programs
electronic timer"
455,FMIA120N,Microwave,Linear Built-in Microwave Oven - Black,,595mmW x 390mmH x 319mmD,Black glass,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia120n,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
3 automatic programs
electronic timer"
456,FMIA120N1,Microwave,Linear Built-in microwave oven - Black,,595mmW x 390mmH x 319mmD,Black glass,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia120n1,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
3 automatic programs
electronic timer"
457,FMIA120S1,Microwave,Linear Built-in microwave oven - Silver,,595mmW x 390mmH x 319mmD,Silver glass,"1 x Trimkit
1 x Grill stand","",Controls lock,"230V, 50Hz,1200W,12A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,fmia120s1,"","","",0.0,TFT,End of cooking acoustic alarm,By time and weight,21L,25W incandescent,25cm diameter,Stainless steel interior,1000W,Built in,5,Electronic touch pad,TFT,850W,Quick start option,No,3 Programs,"touch controls
quick start option
3 automatic programs
electronic timer"
460,SAM34XI,Microwave,34L Freestanding Microwave with Grill,,519mmW x 451mmD x 314mmH,Stainless steel,Glass Turntable,"","Thermal protection
Child safety lock","220-240V, 50/60Hz,2100W,10A 3 pin plug",two years parts and labour,CURRENT,02/10/2018,02/10/2018,sam34xi,"","","",0.0,n/a,n/a,by time or weight,34L,1 x LED,314mm,Stainless steel,1100W,"",5,"electronic button, dial",digital LED display,1000W,"Pizza
Meat
Vegetables
Pasta
Cake
Potato
Fish
Beverage
Popcorn
Chicken",n/a,10,"inverter technology
10 automatic programs
5 power levels
1100 watt grill
1000 watt microwave power"
461,SA34MX,Microwave,34L Freestanding Microwave with Grill,,519mmW x 420mmD x 314mmH,Stainless steel,Glass Turntable,"","Thermal protection
Child safety lock","220-240V, 50/60Hz,2100W,10A 3 pin plug",two years parts and labour,CURRENT,02/10/2018,02/10/2018,sa34mx,"","","",0.0,n/a,n/a,by time or weight,34L,1 x LED,314mm,Stainless steel,1100W,"",5,"electronic button, dial",digital LED display,1000W,"Pizza
Meat
Vegetables
Pasta
Cake
Potato
Fish
Beverage
Popcorn
Chicken",n/a,10,"10 automatic programs
5 power levels
1100 watt grill
1000 watt microwave power"
462,SA35MX,Microwave,34L Freestanding microwave oven,,560mmW x 344mmH x 435mmD,stainless steel,"","",Thermal protection,"220-240V, 50/60Hz,1400W,10A 3 pin plug",two years parts and labour,OLD,02/10/2018,02/10/2018,sa35mx,"","","",0.0,yes,99 minutes,"3 auto defrost - Meat , Poultry & Fish,by time or weight",34L,1,345mm diameter,stainless steel,n/a,"",10,electronic touch pad,digital LED display,1000W,"Frozen Pizza
Frozen Vegetables
Fresh Vegetables
Dish Warmer
Pasta
Beverage","",n/a,"10 automatic programs
defrost by weight or time"
