id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cavity,capacity,cleaning,lighting,auto_menus,door_glass,thermostat,installation,function_list,quote_display,cooking_levels,device_display,interior_finish,programmability,total_functions,features
468,ALFA140UK,Oven,Professional Convection Oven,"",700mmW x 715mmD x 562mmD,"
Stainless steel with double glazed cool door","","","","230V 50Hz,3000W ,13A connection","","",02/10/2018,02/11/2018,alfa140uk,"","",/development/uploads/oven/cover_image/468/cover_image_ce68eeba-444e-4a52-bc88-fa5bcd72d4cc.jpg,0.0,"","","","","","",50 - 250ºC,Freestanding,"","",4,Text on display,"","","",""
672,test001,Oven,,,,"","","","",,,,05/10/2018,05/10/2018,test001,,,"",0.0,,"",,,,,,,"",,,,,"","",""
469,DOA330X1,Oven,76cm Classic pyrolytic double oven,classic,1300mmH x 632mmD x 754mmW,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","each oven -
3 x chromed-wire shelves 
1 x enamel grill tray with insert
1 x meat probe
1 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","thermal protection system
child safety lock","220-240V, 50/60Hz,7550W,31.5A current",Two years parts and labour,Active,02/10/2018,02/10/2018,doa330x1,"","","",0.0,"",130L (each oven),Pyrolytic cleaning function,3 x 25W halogen (each oven),"","",25 - 250ºC,Built-in,"pyrolytic_cleaning
defrost_proofing_dehydrate_warming
grill
convection
fan_forced
fan_grill
fan_assisted
bakers_function","",6 (each oven),LED,"",Fully programmable,"6 incl. proofing
 defrost
 dehydrate
 warming
 Sabbath mode","pyrolytic cleaning
large capacity
twin fan - even cooking
meat probe"
470,SFA106B,Oven,60cm Linear Thermoseal Oven - White,,597mmW x 592mmH x 570mmD,Stainless steel White Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106b,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
471,SFA106N,Oven,60cm Linear Thermoseal Oven - Black,,597mmW x 592mmH x 570mmD,Stainless steel black Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106n,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
472,SFA106S,Oven,60cm Linear Thermoseal Oven - Silver,,597mmW x 592mmH x 570mmD,Stainless steel Stopsol® reflective glass,"1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x chrome grill insert
2 x chrome shelves","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 Total telescopic guides","Thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa106s,"","","",0.0,"",79L,"Smeg Vapour Clean, Ever-Clean enamelling",1 x 40W halogen,"","",30 - 280ºC,Built-in,"","",5,Compact LCD,"",Fully programmable,12,"ever clean enamel
thermoseal technology
vapour clean
minimalist design"
473,SFA561X,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa561x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
474,SFA561X2,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa561x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
475,SFA562X,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD  x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
1 x removable roof liner
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa562x,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
476,SFA562X2,Oven,60cm Classic Thermoseal Oven,,597mmW x 570mmD  x 592mmH,"Fingerprint proof stainless steel
Eclipse high visibility black glass","1 x Chrome grill insert
1 x 40mm baking tray
2 x chrome shelves","PRTX - Pizza stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1P-2 - Total telescopic guides","Cool door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfa562x2,"","","",0.0,"",79L,Vapour Clean,1 x 40W halogen,"","",30 - 250ºC,"Flush, underbench or wallmount","",Automatic Countdown Timer,5,Text on panel,"",Countdown Timer,9,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
