id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,capacity,cleaning,lighting,gas_input,main_oven,auto_menus,door_glass,thermostat,installation,description_2,function_list,cooking_levels,device_display,programmability,total_functions,features
308,A1PY-9,FreestandingCooker,90cm Classic Opera Thermoseal Pyrolytic Cooker,,900mmW x 600mmD x 900mmH,Stainless Steel,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4000W,18A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,a1py-9,"","","",0.0,"6 burners
Front left (wok) 15.8 mj/hr
Rear left 3.9 mj/hr
Front centre 3.9 mj/hr
Rear centre 7.5 mj/hr
Front right 7.5 mj/hr
Rear right 12 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","","",Quadruple glazed door,50-280°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
super_fan_forced
grill
full_rotisserie
defrost_by_time
defrost_by_weight
keep_warm
proving
sabbath_mode
pyrolytic",4,TFT,Fully programmable,10,"ever clean enamel
thermoseal technology
pyrolytic cleaning
fully programmable"
309,A1PYID-7,FreestandingCooker,90cm Classic Opera Thermoseal Pyrolytic Cooker,,"900mmW x 600mmD x 895 - 915mmH,(Height excludes 55mm splashback)",Stainless Steel,n/a,"",n/a,"220-240V, 50/60Hz,12,600W,52.5A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,a1pyid-7,"","","",0.0,n/a,Pyrolytic,2 x 25W incandescent,n/a,"","",Quadruple glazed door,50-280°C,Freestanding,"Electric oven, induction hob","eco
convection
grill_element
rotisserie
fan_assisted
fan_grill
bakers_function
fan_forced
supercook
pyrolytic",4,Digital - Analog,Fully programmable,10,"ever clean enamel
thermoseal technology
pyrolytic cleaning
fully programmable
world's first pyrolytic induction cooker"
310,A11X-7,FreestandingCooker,90cm Classic Opera Thermoseal Cooker,,"900mmW x 600mmD x 895 - 915mmH,(Height excludes 55mm splashback)",Stainless Steel,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,2900W,12.08A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,a11x-7,"","","",0.0,"6 burners
Front left (wok) 15.8 mj/hr
Rear left 3.9 mj/hr
Front centre 3.9 mj/hr
Rear centre 7.5 mj/hr
Front right 7.5 mj/hr
Rear right 12 mj/hr",n/a,2 x 25W incandescent,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","","",Triple glazed door,50-280°C,Freestanding,"Electric oven, gas hob","convection
fan_assisted
grill_element
fan_grill
bakers_function
fan_forced
defrost
vapour_clean",4,Digital - Analog,Fully programmable,8,"ever clean enamel
thermoseal technology
fully programmable
catalytic liners
15.2 mj/hr wok burner"
311,A11XPY-9,FreestandingCooker,90cm Classic Opera Thermoseal Pyrolytic Cooker,,"900mmW x 600mmD x 895mmH,(Height excludes 55mm splashback)",Stainless Steel,1 x Cast iron wok support,"PPR9 - Gourmet Cooking Stone
PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4000W,18A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,a11xpy-9,based on A1PY-9,"","",0.0,"6 burners
Front left (wok) 15.2 mj/hr
Rear left 12 mj/hr
Front centre 3.9 mj/hr
Rear centre 7.5 mj/hr
Front right 7.5 mj/hr
Rear right 12 mj/hr",Pyrolytic,4 x 40W Halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","","",Quadruple glazed door,50-280°C,Freestanding,"Electric oven, gas hob","",5,TFT,Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm
10 Personal recipies","soft close door
pyrolytic
thermoseal
smartsense plus
everclean enamel"
312,CPF9GPANA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,Anthracite,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpana,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
313,CPF9GPBLA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,Black,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpbla,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
314,CPF9GPOGA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,Olive Green,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpoga,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
315,CPF9GPORA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,Orange,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpora,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
316,CPF9GPRA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,Red,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpra,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
317,CPF9GPWHA,FreestandingCooker,90cm Portofino Pyrolytic Freestanding Cooker,,900mmW x 600mmD x 900mmH,White,1 x wok stand,"",Flame failure device fitted to each burner,"220-240V, 50/60Hz,4.0kW,18A",Five years parts and labour,"",02/10/2018,02/10/2018,cpf9gpwha,"","","",0.0,"6 burners
Front left (wok) 15.0 mj/hr
Rear left 3.6 mj/hr
Front centre 3.6 mj/hr
Rear centre 6.5 mj/hr
Front right 6.5 mj/hr
Rear right 10.8 mj/hr",Pyrolytic,4 x 40W halogen,"Set for natural gas, regulator supplied, adapt for ULPG, no regulator required","",20 SmartSense,Quadruple glazed door,50-260°C,Freestanding,"Electric oven, gas hob","base_heat
bakers_function
convection
fan_assisted
fan_forced
supercook
eco
fan_grill
grill
full_rotisserie
other_functions
defrost_by_time
defrost_by_weight
proofing
sabbath_mode
cleaning_functions
pyro
eco_pyro",5,LCD display,Fully programmable,16,"rapid preheat
optimal energy efficiency
soft close door
thermoseal technology
giant 126l capacity"
