id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,size,cutout,timers,capacity,controls,ignition,pan_size,installation,power_levels,gas_connection,features
362,CIR574XS3,GasCooktop,70cm Classic gas cooktop,,685mmW x 60mmH x 500mmD,Stainless steel,"1 x set of cast iron trivets
1 x wok stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir574xs3,"","","",0.0,"",560mmW x 478mmD,"","4 burner
Left (wok) 15 mj/hr
Front centre 4.8 mj/hr
Rear center 6 mj/hr
Right 12.2 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"15 mj/hr triple wok burner
flame failure device
cast iron trivets
4 burner, ample room for left hand wok
fits into 60cm cut-out"
363,CIR575XS5,GasCooktop,70cm Classic gas cooktop,,685mmW x 60mmH x 500mmD,Stainless steel,"1 x set of cast iron trivets
1 x wok stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir575xs5,"","","",0.0,"",560mmW x 478mmD,"","5 burner
Left (wok) 15 mj/hr
Front centre 4.8 mj/hr
Rear centre 4.8 mj/hr
Front right 5.9 mj/hr
Rear right 11.5 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"flame failure device
cast iron trivets
5 burner, ample room for left hand wok
fits into 60cm cut-out
15 mj/hr dual control triple wok burner"
364,CIR597X5,GasCooktop,90cm Classic gas cooktop,,885mmW x 90mmH x 500mmD,Stainless steel,"1 x set of cast iron trivets
1 x wok stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir597x5,"","","",0.0,"",844mmW x 482mmD,"","5 burner
Left (wok) 15 mj/hr
Front centre 4.8 mj/hr
Rear centre 12 mh/hr
Front right 6 mj/hr
Rear right 6 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"15 mj/hr triple wok burner
flame failure device
cast iron trivets
5 burner, ample room for left hand wok"
365,CIR60XS3,GasCooktop,60cm Classic gas cooktop,,600mmW x 500mmD x 30mmH (above counter),Stainless steel,"1 x  set of cast iron trivets
1 x cast iron pot rest","",Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir60xs3,"","","",0.0,"",555 - 560mmW x 478 - 482mmD x 20 - 40mmH,"","4 burner
Left (wok) 15 mj/hr
Front centre 4.8 mj/hr
Rear centre 6 mj/hr
Right 9.5 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"15 mj/hr triple wok burner
flame failure device
cast iron trivets
4 burner, diamond configuration
front controls"
366,CIR66EBS3,GasCooktop,60cm Classic Gas Cooktop,,585mmW x 45mmH x 500mmD,White enamel,"1 x  set of cast iron trivets
1 x wok stand
1 x moka stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir66ebs3,"","","",0.0,"",555mmW x 478mmD,"","4 Burner
Front left (wok) 15 mj/hr
Rear left 5.9 mj/hr
Front right 4.8 mj/hr
Rear right 5.9 mj/hr
Total 31.6 mj/hr max","",Automatic electronic,"",Built-in,"",et for natural gas - regulator supplied,"simmer control
easy installation
ultra-rapid triple burner
electronic ignition"
367,CIR66NES3,GasCooktop,60cm Classic Gas Cooktop,,585mmW x 45mmH x 500mmD,Black enamel,"1 x  set of cast iron trivets
1 x wok stand
1 x moka stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir66nes3,"","","",0.0,"",555mmW x 478mmD,"","4 Burner
Front left (wok) 15 mj/hr
Rear left 5.9 mj/hr
Front right 4.8 mj/hr
Rear right 5.9 mj/hr
Total 31.6 mj/hr max","",Automatic electronic,"",Built-in,"",et for natural gas - regulator supplied,"simmer control
easy installation
ultra-rapid triple burner
electronic ignition"
368,CIR66XS3,GasCooktop,60cm Classic Gas Cooktop,,585mmW x 45mmH x 500mmD,Stainless steel,"1 x  set of cast iron trivets
1 x wok stand
1 x moka stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir66xs3,"","","",0.0,"",555mmW x 478mmD,"","4 Burner
Front left (wok) 15 mj/hr
Rear left 5.9 mj/hr
Front right 4.8 mj/hr
Rear right 5.9 mj/hr
Total 31.6 mj/hr max","",Automatic electronic,"",Built-in,"",et for natural gas - regulator supplied,"simmer control
easy installation
ultra-rapid triple burner
electronic ignition"
369,CIR93AXS3,GasCooktop,90cm Classic gas cooktop,,860mmW x 40mmH x 500mmD,Stainless steel,"1 x  set of cast iron trivets
1 x wok stand
1 x moka stand",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,cir93axs3,"","","",0.0,"",844mmW x 478mmD,"","5 Burner
Front left (wok) 15 mj/hr
Rear Left 6 mj/hr
Centre (fish burner) 11.4 mj/hr
Front right 4.8 mj/hr
Rear right 11.5 mj/hr
Total 48.7 mj/hr max","",Automatic electronic,"",Built-in,"",et for natural gas - regulator supplied,"simmer control
canali design
ultra-rapid triple burner
spacious design
rectangular fish burner"
370,PA361XGH,GasCooktop,60cm Classic gas cooktop,,600mmw x 510mmD x 40mmH,Stainless steel,"1 x  set of cast iron trivets
1 x cast iron pot rest",TBC,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,pa361xgh,"","","",0.0,"",560mmW x 482mmD,"","4 burner
Left (wok) 12.6 mj/hr
Front centre 3.9 mj/hr
Rear centre 6.1 mj/hr
Right 9.3 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"flame failure device
cast iron trivets
4 burner, diamond configuration
front controls
12.6 mj/hr triple wok burner"
371,PA372XGH,GasCooktop,72cm Classic gas cooktop,,720mmW x 75mmH 512mmD,Stainless steel,1 x  set of cast iron trivets,None,Flame failure device,"220-240 V 50/60Hz,10A",Two years parts and labour,"",02/10/2018,02/10/2018,pa372xgh,"","","",0.0,"",560mmW x 482mmD,"","5 burner
Centre (wok) 17 mj/hr
Front left 4.8 mj/hr
Rear left 9.5 mj/hr
Front right 6.1 mj/hr
Rear right 6.1 mj/hr","",Automatic electronic,"",Topmount,"",et for natural gas  regulator supplied,"5 burner, ample room for central wok
flame failure device
cast iron trivets
front controls
17 mj/hr triple wok burner"
