id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,size,cutout,timers,capacity,controls,ignition,pan_size,installation,power_levels,function_list,gas_connection,features
380,PM6912WLDXAU,InductionCooktop,90cm Dolce Stil Novo Induction & Gas Burner,,900mmW x 45mmH x 510mmD,Black Ceramic Glass with Stainless Steel Trim,"1 x cast iron trivets
1 x wok stand","",Flame failure device,"220-240 V 50/60Hz,7400W 32A",Five years parts and labour,"",02/10/2018,02/10/2018,pm6912wldxau,"","","",0.0,900mmW x 45mmH x 510mmD,848mmW x 486mmD,"3 timers
 simultaneous or separate operation
independent egg timer","5 zones
Left (GAS) Ultra Rapid WOK 6kW
Front centre 230x180mm 2100W | boost 3600W
Rear centre 230x180mm 2100W | boost 3600W
Front right 230x180mm 2100W | boost 3600W 
Rear right 220x180mm 2100W | boost 3600W
NB. The induction zones feature Surface Share",Slide control,Automatic electronic,automatic pan size recognition,Topmount,"9 heat settings per zone + boost setting per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC",,"Set for natural gas  regulator supplied,Adaptable for ULPG  no regulator required","flame failure device
flame failure device
surface share zones
surface share zones
preset temperature settings
preset temperature settings
active surface control
active surface control
smartsense plus
smartsense plus"
410,PIP264B-1,InductionCooktop,60cm Induction Ceramic Cooktop,,"",Black ceramic,"","","pan detection
automatic cut-off 
touch-control lock
residual heat indicators
automatic spillage stop","220-240V, 50/60Hz,7300W,31A connection must be hard wired",Two years parts and labour,"",02/10/2018,02/10/2018,pip264b-1,"","","",0.0,590mmW x 520mmD x 4mmH,560mmW x 490mmD,"4 timers
 simultaneous or separate operation
independent egg timer","Front left: 190mm
 1400W - boost 2000W
Rear left: 170mm
 1500W
Front right: 155mm
 1500W
Rear right: 220mm
 1850W - boost 2300W",Touch control,"",Automatic pan size recognition,"built-in hob, topmount",9 heat settings per zone + boost setting for 2 zones,"","","touch control interface
pan detection system
residual heat indicators
high power induction zones
4 individual zone timers"
411,PIP264W-1,InductionCooktop,60cm Induction Ceramic Cooktop,,"",White ceramic,"","","pan detection
automatic cut-off 
touch-control lock
residual heat indicators
automatic spillage stop","220-240V, 50/60Hz,7300W,31A connection must be hard wired","Two years parts and labour,BOOST FUNCTION Boost provides an additional surge of power for even more intense heat and is ideal for heating large quantities rapidly (eg water for cooking pasta). The temperature will revert to power level 9 when complete (boost is limited to 8-10 minut","",02/10/2018,02/10/2018,pip264w-1,"","","",0.0,590mmW x 520mmD x 4mmH,560mmW x 490mmD,"4 timers
 simultaneous or separate operation
independent egg timer","Front left: 190mm
 1400W - boost 2000W
Rear left: 170mm
 1500W
Front right: 155mm
 1500W
Rear right: 220mm
 1850W - boost 2300W",Touch control,"",Automatic pan size recognition,"built-in hob, topmount",9 heat settings per zone + boost setting for 2 zones,"","","touch control interface
pan detection system
residual heat indicators
high power induction zones
4 individual zone timers"
412,PI964B,InductionCooktop,60cm Victoria Induction Cooktop,,"",Black ceramic glass with white enamel,"","","residual heat indicators
child safety lock","220-240V, 50/60Hz,7400W ,33A",two years parts and labour,"",02/10/2018,02/10/2018,pi964b,"","","",0.0,"596mmW x 50mmH* x 510mmD,*Height excludes glass and knobs",560mmW x 490mmD,No,"4 zones
Front left 23cmØ 2300W | boost 3000W
Rear left 16cmØ 1300W | boost 1400W
Front right 23cmØ 2300W | boost 3000W
Rear right 16cmØ 1300W | boost 1400W",Knob control,"",No,Topmount,9 heat settings per zone + 1 boost setting per zone,"","","boost function
child lock
easy to use knob control"
413,PI964N,InductionCooktop,60cm Victoria Induction Cooktop,,"",Black ceramic glass with black enamel,"","","residual heat indicators
child safety lock","220-240V, 50/60Hz,7400W ,33A",two years parts and labour,"",02/10/2018,02/10/2018,pi964n,"","","",0.0,"596mmW x 50mmH* x 510mmD,*Height excludes glass and knobs",560mmW x 490mmD,No,"4 zones
Front left 23cmØ 2300W | boost 3000W
Rear left 16cmØ 1300W | boost 1400W
Front right 23cmØ 2300W | boost 3000W
Rear right 16cmØ 1300W | boost 1400W",Knob control,"",No,Topmount,9 heat settings per zone + 1 boost setting per zone,"","","boost function
child lock
easy to use knob control"
414,PI964P,InductionCooktop,60cm Victoria Induction Cooktop,,"",Black ceramic glass with cream enamel,"","","residual heat indicators
child safety lock","220-240V, 50/60Hz,7400W ,33A",two years parts and labour,"",02/10/2018,02/10/2018,pi964p,"","","",0.0,"596mmW x 50mmH* x 510mmD,*Height excludes glass and knobs",560mmW x 490mmD,No,"4 zones
Front left 23cmØ 2300W | boost 3000W
Rear left 16cmØ 1300W | boost 1400W
Front right 23cmØ 2300W | boost 3000W
Rear right 16cmØ 1300W | boost 1400W",Knob control,"",No,Topmount,9 heat settings per zone + 1 boost setting per zone,"","","boost function
child lock
easy to use knob control"
415,PI964X,InductionCooktop,60cm Victoria Induction Cooktop,,"",Black ceramic glass with stainless steel,"","","residual heat indicators
child safety lock","220-240V, 50/60Hz,7400W ,33A",two years parts and labour,"",02/10/2018,02/10/2018,pi964x,"","","",0.0,"596mmW x 50mmH* x 510mmD,*Height excludes glass and knobs",560mmW x 490mmD,No,"4 zones
Front left 23cmØ 2300W | boost 3000W
Rear left 16cmØ 1300W | boost 1400W
Front right 23cmØ 2300W | boost 3000W
Rear right 16cmØ 1300W | boost 1400W",Knob control,"",No,Topmount,9 heat settings per zone + 1 boost setting per zone,"","","boost function
child lock
easy to use knob control"
379,PM6912WLDRAU,InductionCooktop,90cm Dolce Stil Novo Induction & Gas Burner,,900mmW x 45mmH x 510mmD,Black Ceramic Glass with Copper Trim,"1 x cast iron trivets
1 x wok stand","",Flame failure device,"220-240 V 50/60Hz,7400W 32A",Five years parts and labour,"",02/10/2018,02/10/2018,pm6912wldrau,"","","",0.0,900mmW x 45mmH x 510mmD,848mmW x 486mmD,"3 timers
 simultaneous or separate operation
independent egg timer","5 zones
Left (GAS) Ultra Rapid WOK 6kW
Front centre 230x180mm 2100W | boost 3600W
Rear centre 230x180mm 2100W | boost 3600W
Front right 230x180mm 2100W | boost 3600W 
Rear right 220x180mm 2100W | boost 3600W
NB. The induction zones feature Surface Share",Slide control,Automatic electronic,automatic pan size recognition,Topmount,"9 heat settings per zone + boost setting per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC",,"Set for natural gas  regulator supplied,Adaptable for ULPG  no regulator required","flame failure device
flame failure device
surface share zones
surface share zones
preset temperature settings
preset temperature settings
active surface control
active surface control
smartsense plus
smartsense plus"
416,SAI60MB,InductionCooktop,60cm SmartSense Plus Induction Cooktop,,"","Black ceramic surface
 bevelled edge  33mm front
 5mm sides
 straight back","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7,400W ,31A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai60mb,"","","",0.0,"590mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left* 220x180mm 2100W | boost 2600/3700W 
Rear left* 220x180mm 2100W | boost 2600/3700W 
Front right* 220x180mm 2100W | boost 2600/3700W 
Rear right* 220x180mm 2100W | boost 2600/3700W 
*These zones feature Surface Share",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
active surface control
smartsense plus
2 pairs x surface share zones"
417,SAI60MW,InductionCooktop,60cm SmartSense Plus Induction Cooktop,,"","White ceramic surface
 bevelled edge  33mm front
 5mm sides
 straight back","","","pan detection
automatic cut-off
touch-control lock
residual heat indicators
automatic spillage stop
child safety lock","220-240V, 50/60Hz,7,400W ,31A  Must be hard wired",two years parts and labour,"",02/10/2018,02/10/2018,sai60mw,"","","",0.0,"590mmW x 45mmH x 520mmD,(Height includes 4mm Ceramic surface)",560mmW x 490mmD,"3 timers
 simultaneous or separate operation
independent egg timer","4 zones
Front left* 220x180mm 2100W | boost 2600/3700W 
Rear left* 220x180mm 2100W | boost 2600/3700W 
Front right* 220x180mm 2100W | boost 2600/3700W 
Rear right* 220x180mm 2100W | boost 2600/3700W 
*These zones feature Surface Share",Slide Control,"",automatic pan size recognition,"Built-in hob, topmount","9 heat settings per zone + 2 boost settings per zone,3 auto-regulated temperatures                             ,? 42ºC,  ?? 70ºC,   ??? 94ºC","","","double boost
preset temperature settings
active surface control
smartsense plus
2 pairs x surface share zones"
